cluster,variable,period_shown,clusters_from,N_in_cluster,mean,std
0,b_PHQ_total,b,b,85,3.070588235294118,1.631448635372853
0,b_GAD7_total,b,b,85,1.4470588235294117,1.2488650309565956
1,b_PHQ_total,b,b,56,7.089285714285714,2.9187592987699147
1,b_GAD7_total,b,b,56,6.035714285714286,1.9349821301903138
0,T1_PHQ_total,t1,b,72,7.125,4.048778289040142
0,T1_GAD7_total,t1,b,72,3.0416666666666665,3.1952319230774964
1,T1_PHQ_total,t1,b,52,8.538461538461538,4.212314060417355
1,T1_GAD7_total,t1,b,52,5.423076923076923,3.1081559620075208
0,T2_PHQ_total,t2,b,65,5.4,3.106444913401813
0,T2_GAD7_total,t2,b,65,3.1538461538461537,2.9539738554126607
1,T2_PHQ_total,t2,b,51,7.333333333333333,4.3619567474548235
1,T2_GAD7_total,t2,b,51,5.470588235294118,3.579681221430034
0,T3_PHQ_total,t3,b,61,5.491803278688525,3.258951522702111
0,T3_GAD7_total,t3,b,61,2.8360655737704916,2.70912241552409
1,T3_PHQ_total,t3,b,46,7.065217391304348,4.122578340542849
1,T3_GAD7_total,t3,b,46,5.304347826086956,3.595488316193513
0,after_PHQ_total,after,b,68,4.397058823529412,3.2605269507378942
0,after_GAD7_total,after,b,68,2.985294117647059,2.8520359162232807
1,after_PHQ_total,after,b,47,6.702127659574468,5.068722905860235
1,after_GAD7_total,after,b,47,5.659574468085107,4.439333066560302
0,b_PHQ_total,b,t1,94,3.702127659574468,2.906536153849686
0,b_GAD7_total,b,t1,94,2.404255319148936,2.370604700026684
1,b_PHQ_total,b,t1,43,5.5813953488372094,3.4172709672759893
1,b_GAD7_total,b,t1,43,4.395348837209302,2.9931631212904812
0,T1_PHQ_total,t1,t1,96,5.4375,2.7253681547540265
0,T1_GAD7_total,t1,t1,96,2.34375,1.8054194730544504
1,T1_PHQ_total,t1,t1,43,12.395348837209303,3.2155835942493796
1,T1_GAD7_total,t1,t1,43,7.093023255813954,3.3651855781868507
0,T2_PHQ_total,t2,t1,87,5.022988505747127,3.5272263676582414
0,T2_GAD7_total,t2,t1,87,3.0919540229885056,3.116468573554779
1,T2_PHQ_total,t2,t1,40,8.2,3.6808583168492035
1,T2_GAD7_total,t2,t1,40,5.9,3.4700181038469586
0,T3_PHQ_total,t3,t1,85,4.635294117647059,3.066124662856889
0,T3_GAD7_total,t3,t1,85,2.6941176470588237,2.6993100062430626
1,T3_PHQ_total,t3,t1,35,8.714285714285714,4.267327504845796
1,T3_GAD7_total,t3,t1,35,5.542857142857143,3.980414234598152
0,after_PHQ_total,after,t1,86,3.872093023255814,3.271252725064951
0,after_GAD7_total,after,t1,86,2.7209302325581395,3.1348183652821944
1,after_PHQ_total,after,t1,38,7.815789473684211,4.649064207830953
1,after_GAD7_total,after,t1,38,5.947368421052632,3.931490113080037
0,b_PHQ_total,b,t2,95,3.5789473684210527,2.8567908917749136
0,b_GAD7_total,b,t2,95,2.5789473684210527,2.3993746852417965
1,b_PHQ_total,b,t2,36,6.472222222222222,3.359303593740916
1,b_GAD7_total,b,t2,36,4.805555555555555,2.9935115017502625
0,T1_PHQ_total,t1,t2,93,6.655913978494624,3.877175752865329
0,T1_GAD7_total,t1,t2,93,2.849462365591398,2.493235354693644
1,T1_PHQ_total,t1,t2,36,9.86111111111111,4.473111909926931
1,T1_GAD7_total,t1,t2,36,6.5,3.865599195837192
0,T2_PHQ_total,t2,t2,97,4.185567010309279,2.3198863877857634
0,T2_GAD7_total,t2,t2,97,2.3711340206185567,1.878161710006544
1,T2_PHQ_total,t2,t2,36,10.75,2.998809287510152
1,T2_GAD7_total,t2,t2,36,8.0,3.5456210417116734
0,T3_PHQ_total,t3,t2,83,4.9397590361445785,2.9687370953367247
0,T3_GAD7_total,t3,t2,83,2.63855421686747,2.427375945703669
1,T3_PHQ_total,t3,t2,32,8.84375,4.8400838102581005
1,T3_GAD7_total,t3,t2,32,6.625,4.046105255914073
0,after_PHQ_total,after,t2,91,4.241758241758242,3.1914491983028626
0,after_GAD7_total,after,t2,91,2.78021978021978,2.7840905069986412
1,after_PHQ_total,after,t2,31,8.03225806451613,5.770522050142672
1,after_GAD7_total,after,t2,31,6.548387096774194,4.836243098917584
0,b_PHQ_total,b,t3,88,3.9545454545454546,2.904254077217862
0,b_GAD7_total,b,t3,88,2.8068181818181817,2.504515253740202
1,b_PHQ_total,b,t3,30,5.933333333333334,3.2369987518595416
1,b_GAD7_total,b,t3,30,4.266666666666667,2.9353180328582775
0,T1_PHQ_total,t1,t3,87,6.908045977011494,4.247111696824489
0,T1_GAD7_total,t1,t3,87,3.1379310344827585,2.9340519398753195
1,T1_PHQ_total,t1,t3,30,9.6,4.247514486184223
1,T1_GAD7_total,t1,t3,30,6.1,3.5849301440796637
0,T2_PHQ_total,t2,t3,83,5.204819277108434,3.5501942102306985
0,T2_GAD7_total,t2,t3,83,3.072289156626506,2.7487608406828032
1,T2_PHQ_total,t2,t3,30,8.9,3.4073956077312495
1,T2_GAD7_total,t2,t3,30,6.6,4.123941870555905
0,T3_PHQ_total,t3,t3,90,4.411111111111111,2.2530600636549734
0,T3_GAD7_total,t3,t3,90,2.0555555555555554,1.7948810552504249
1,T3_PHQ_total,t3,t3,31,10.709677419354838,4.084062914852453
1,T3_GAD7_total,t3,t3,31,8.161290322580646,3.056106173914211
0,after_PHQ_total,after,t3,83,4.253012048192771,2.987140624344486
0,after_GAD7_total,after,t3,83,2.8072289156626504,2.765015905768662
1,after_PHQ_total,after,t3,29,7.413793103448276,4.895458838697279
1,after_GAD7_total,after,t3,29,5.931034482758621,4.300589946928865
0,b_PHQ_total,b,after,86,3.697674418604651,3.203196078337863
0,b_GAD7_total,b,after,86,2.383720930232558,2.4310182066788038
1,b_PHQ_total,b,after,36,5.722222222222222,3.368858315395046
1,b_GAD7_total,b,after,36,4.833333333333333,2.980891525318271
0,T1_PHQ_total,t1,after,84,6.630952380952381,3.864511883031368
0,T1_GAD7_total,t1,after,84,2.9166666666666665,2.551674778788792
1,T1_PHQ_total,t1,after,35,9.885714285714286,4.957296633848572
1,T1_GAD7_total,t1,after,35,6.057142857142857,3.6375723735905576
0,T2_PHQ_total,t2,after,79,4.810126582278481,3.234731191491404
0,T2_GAD7_total,t2,after,79,2.911392405063291,2.7136401581909686
1,T2_PHQ_total,t2,after,35,8.114285714285714,3.946490835662283
1,T2_GAD7_total,t2,after,35,6.0285714285714285,3.633874243394607
0,T3_PHQ_total,t3,after,76,4.907894736842105,2.9311096036777493
0,T3_GAD7_total,t3,after,76,2.6184210526315788,2.643064409673781
1,T3_PHQ_total,t3,after,31,8.838709677419354,3.7867908506064287
1,T3_GAD7_total,t3,after,31,5.870967741935484,3.6124039593588364
0,after_PHQ_total,after,after,88,3.477272727272727,1.8443905184464064
0,after_GAD7_total,after,after,88,2.090909090909091,1.9096630480683718
1,after_PHQ_total,after,after,37,9.72972972972973,4.652649476067067
1,after_GAD7_total,after,after,37,7.972972972972973,3.847701236427382
